frame,score,psr,ess,cx,cy,w,h
349,0.995537,6.0696,500.0,355.483,125.534,13.523,13.362
350,0.997257,5.948,500.0,356.183,126.089,13.552,13.358
351,0.995491,5.8867,500.0,357.575,125.828,13.42,13.243
352,0.981544,6.7929,500.0,359.684,126.429,13.685,13.087
353,0.978505,6.3515,500.0,362.062,126.619,13.93,13.246
354,0.991762,6.2453,500.0,363.508,126.873,13.924,13.149
355,0.989523,6.338,500.0,364.37,127.095,13.945,13.272
356,0.990386,6.4661,500.0,365.357,126.389,13.75,13.229
357,0.976039,7.3237,500.0,365.409,126.019,12.813,12.852
358,0.984684,6.786,500.0,365.388,125.472,12.11,12.534
359,0.98969,5.9097,500.0,365.53,126.237,12.174,12.622
360,0.981198,6.395,500.0,366.237,126.307,12.806,12.939
361,0.965141,7.1467,500.0,366.854,126.507,13.539,13.292
362,0.983501,6.2598,500.0,367.518,125.943,13.422,13.33
363,0.982585,6.5699,500.0,367.474,125.774,13.208,13.372
364,0.981565,6.9413,500.0,367.002,125.352,12.879,13.266
365,0.978635,6.6037,500.0,366.652,125.396,12.477,13.143
366,0.989436,6.885,500.0,367.31,126.103,12.048,13.007
367,0.992433,6.3123,500.0,367.779,125.179,11.488,12.753
368,0.992243,6.1093,500.0,367.521,125.508,10.816,12.183
369,0.985346,6.3369,500.0,367.34,125.458,10.414,11.917
370,0.986767,5.8944,500.0,366.576,126.089,10.405,11.899
371,0.9608,6.0681,500.0,365.178,125.168,10.595,11.963
372,0.988803,5.8439,500.0,365.07,125.328,10.906,11.896
373,0.989378,5.4604,500.0,365.259,125.18,11.102,11.843
374,0.984468,5.7467,500.0,366.675,124.963,11.19,11.826
375,0.977946,6.0886,500.0,367.806,125.082,11.264,11.89
376,0.981867,6.3118,500.0,368.092,124.556,11.148,11.865
377,0.98363,6.5252,500.0,367.457,124.501,10.822,11.642
378,0.969943,6.4973,500.0,368.118,124.151,10.391,11.452
379,0.961231,6.7621,500.0,367.731,125.049,10.445,11.305
380,0.97402,6.2733,500.0,368.261,125.29,10.58,11.17
381,0.971133,6.4774,500.0,368.361,127.112,10.644,11.169
382,0.975661,6.3407,500.0,369.198,127.777,10.548,11.07
383,0.927431,7.4111,500.0,369.983,129.595,11.127,11.02
384,0.971669,6.5502,500.0,370.868,132.06,11.437,11.079
385,0.892567,7.2748,500.0,370.15,134.209,11.311,11.222
386,0.920218,6.8002,500.0,369.829,137.194,11.249,11.278
