frame,score,psr,ess,cx,cy,w,h
296,0.93802,7.4245,500.0,350.605,111.9,14.629,16.442
297,0.96111,7.3941,500.0,348.065,111.499,14.211,16.05
298,0.973257,7.3111,500.0,346.591,112.671,14.227,15.772
299,0.979796,6.7981,500.0,346.075,113.56,14.285,15.721
300,0.982535,6.3285,500.0,345.401,114.207,14.203,15.474
301,0.982954,6.213,500.0,343.903,114.402,14.107,15.323
302,0.971924,6.7073,500.0,342.593,116.038,14.221,15.395
303,0.971805,6.7967,500.0,341.713,115.99,13.974,15.312
304,0.968529,7.2052,500.0,341.51,116.792,13.691,15.079
305,0.973491,6.5676,500.0,341.499,117.873,13.328,14.939
306,0.962856,6.9831,500.0,340.963,118.199,13.212,14.655
307,0.981214,6.7201,500.0,339.004,117.855,12.954,14.646
308,0.959782,6.727,500.0,336.403,118.098,12.839,14.487
309,0.967387,6.4445,500.0,335.681,118.258,12.947,14.438
310,0.980362,6.5727,500.0,333.887,118.726,13.049,14.294
311,0.978377,6.3114,500.0,331.719,118.974,13.067,14.265
312,0.971823,6.227,500.0,328.432,120.193,12.533,14.202
313,0.986471,5.9006,500.0,324.235,121.336,12.081,14.053
314,0.987423,6.6493,500.0,320.714,122.008,11.925,13.834
315,0.990556,6.041,500.0,321.419,122.117,12.102,13.433
316,0.976665,6.4228,500.0,324.387,123.372,12.683,13.734
317,0.985551,5.8547,500.0,326.366,124.557,12.879,13.899
318,0.98125,6.062,500.0,328.895,124.228,13.827,13.996
319,0.975497,5.8426,500.0,335.505,124.164,14.769,13.914
320,0.837677,7.8845,500.0,341.3,124.245,15.746,14.108
321,0.979583,6.1102,500.0,347.399,124.388,16.108,14.087
322,0.819214,8.4938,500.0,354.768,124.821,16.665,14.106
323,0.211908,7.1136,412.2,359.777,124.883,16.729,14.268
324,0.08755,8.3147,259.3,365.644,124.91,16.727,14.331
325,0.648528,10.3412,500.0,372.417,126.186,16.525,14.573
