fi,score_ax,score_cpu,d_score,cx_ax,cx_cpu,d_cx,cy_ax,cy_cpu,d_cy,dist,psr_ax,psr_cpu,score_max_ax,score_max_cpu
81,0.8170509934425354,0.8432764410972595,-0.02622544765472412,476.4677734375,315.7726135253906,160.69515991210938,27.326669692993164,172.3854522705078,-145.05878257751465,216.48322064781158,3.702832314554543,17.627171633994422,0.8259140849113464,0.8432764410972595
82,0.8375034332275391,0.9659118056297302,-0.12840837240219116,476.6271057128906,315.11590576171875,161.51119995117188,28.55908203125,170.15269470214844,-141.59361267089844,214.7897084565828,3.6864046621314843,14.394263476600214,0.8375034332275391,0.9757864475250244
83,0.48273226618766785,0.9820041060447693,-0.49927183985710144,477.7193908691406,313.00592041015625,164.71347045898438,30.131895065307617,170.4835662841797,-140.35167121887207,216.40036729306416,2.9421493751689796,13.857869256212036,0.5552381277084351,0.9820041060447693
84,0.6909675598144531,0.9596238732337952,-0.26865631341934204,474.2460021972656,311.2643737792969,162.98162841796875,30.91298484802246,170.07403564453125,-139.1610507965088,214.31007736586102,3.4804628598645575,15.817135190506068,0.6972509026527405,0.9596238732337952
85,0.593993067741394,0.9077123999595642,-0.31371933221817017,474.4885559082031,311.2242126464844,163.26434326171875,32.570068359375,172.13929748535156,-139.56922912597656,214.79016620762616,3.4299766304693953,16.594124600034988,0.654987096786499,0.9077123999595642
86,0.6055472493171692,0.9297199249267578,-0.3241726756095886,472.9546813964844,314.1881103515625,158.76657104492188,30.105695724487305,170.17196655273438,-140.06627082824707,211.72006117771193,3.3340454556632735,20.419272915791588,0.6783076524734497,0.9297199249267578
87,0.6855130791664124,0.9641174077987671,-0.27860432863235474,467.9378356933594,313.056640625,154.88119506835938,29.925901412963867,168.46527099609375,-138.53936958312988,207.80120671039,3.62386320668417,15.400354641301316,0.7207757830619812,0.9701688885688782
88,0.7176017761230469,0.9828578233718872,-0.26525604724884033,463.40167236328125,311.4337158203125,151.96795654296875,26.73332977294922,168.71295166015625,-141.97962188720703,207.97228865182956,3.806138349498457,14.305545220762701,0.758699893951416,0.9828578233718872
89,0.7953799962997437,0.9299498796463013,-0.13456988334655762,459.8540344238281,310.3967590332031,149.457275390625,26.589262008666992,168.0603485107422,-141.4710865020752,205.79491121810267,3.768330287775714,16.39845692613686,0.8005790114402771,0.9299498796463013
90,0.7300660610198975,0.9696847796440125,-0.239618718624115,459.2460021972656,309.93341064453125,149.31259155273438,25.016239166259766,165.59780883789062,-140.58156967163086,205.07907676682495,3.571717247039507,13.750447317625952,0.7424715161323547,0.9696847796440125
91,0.7906939387321472,0.9759575724601746,-0.18526363372802734,458.6338195800781,310.40203857421875,148.23178100585938,23.214706420898438,165.1942901611328,-141.97958374023438,205.25804027910644,3.796688270067132,14.173773715928636,0.8188723921775818,0.9819005131721497
92,0.7311861515045166,0.9815763235092163,-0.2503901720046997,459.1573791503906,310.2464904785156,148.910888671875,24.86208724975586,162.89476013183594,-138.03267288208008,203.04549132649777,3.577734101062763,14.307199373647697,0.7369813919067383,0.9815763235092163
93,0.7975533604621887,0.983607292175293,-0.18605393171310425,458.8282165527344,310.1493225097656,148.67889404296875,24.009584426879883,161.6102294921875,-137.60064506530762,202.58171451596783,3.6255322247738833,13.741032551185516,0.8038303852081299,0.983607292175293
94,0.7101902961730957,0.9672893285751343,-0.2570990324020386,459.5597229003906,309.9660339355469,149.59368896484375,24.04574966430664,160.52984619140625,-136.4840965270996,202.4998281059247,3.63431640869524,13.809008332182339,0.7101902961730957,0.9787327647209167
